@RELATION demanda_productos

@ATTRIBUTE cantidadVendidaMes NUMERIC
@ATTRIBUTE stockActual NUMERIC
@ATTRIBUTE precioUnitario NUMERIC
@ATTRIBUTE categoria STRING
@ATTRIBUTE mesVenta {ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE}
@ATTRIBUTE frecuenciaReposicion NUMERIC
@ATTRIBUTE tienePromocion {false,true}
@ATTRIBUTE demanda {ALTA,MEDIA,BAJA}

@DATA
63,94,31.11,'MODA',ENERO,5,true,MEDIA
71,5,52.47,'MODA',JULIO,1,true,MEDIA
22,28,102.04,'DEPORTES',SEPTIEMBRE,0,false,BAJA
64,20,45.99,'HOGAR',NOVIEMBRE,2,true,MEDIA
17,54,105.25,'HOGAR',NOVIEMBRE,8,true,BAJA
54,93,101.06,'MODA',JUNIO,4,true,MEDIA
144,41,97.11,'MODA',SEPTIEMBRE,2,true,ALTA
79,42,35.57,'DEPORTES',JUNIO,2,true,ALTA
77,58,4.68,'ELECTRONICA',NOVIEMBRE,3,true,ALTA
129,40,82.22,'DEPORTES',FEBRERO,1,false,ALTA
6,68,9.22,'DEPORTES',SEPTIEMBRE,6,true,BAJA
11,89,34.22,'HOGAR',ABRIL,0,false,BAJA
118,77,147.94,'MODA',AGOSTO,6,true,MEDIA
122,100,143.69,'DEPORTES',NOVIEMBRE,5,false,MEDIA
49,58,38.42,'MODA',ABRIL,0,false,BAJA
65,57,139.88,'ALIMENTOS',MARZO,3,false,MEDIA
76,69,10.71,'ELECTRONICA',DICIEMBRE,10,true,BAJA
136,14,36.7,'MODA',AGOSTO,0,true,ALTA
31,72,101.02,'ALIMENTOS',FEBRERO,5,true,MEDIA
46,66,19.27,'ALIMENTOS',JUNIO,3,false,MEDIA
51,82,40.52,'DEPORTES',SEPTIEMBRE,3,true,BAJA
23,0,12.38,'ELECTRONICA',NOVIEMBRE,2,false,BAJA
46,60,107.46,'ELECTRONICA',MAYO,9,false,ALTA
71,66,51.61,'HOGAR',NOVIEMBRE,7,false,MEDIA
108,53,30.51,'DEPORTES',JULIO,7,true,ALTA
72,28,136.26,'HOGAR',OCTUBRE,8,false,MEDIA
61,34,10.75,'ELECTRONICA',OCTUBRE,10,false,MEDIA
37,92,87.31,'ALIMENTOS',AGOSTO,6,false,MEDIA
9,32,87.13,'DEPORTES',FEBRERO,9,false,BAJA
82,1,93.19,'ELECTRONICA',OCTUBRE,9,false,ALTA
51,84,127.25,'MODA',NOVIEMBRE,0,false,MEDIA
91,46,76.18,'ELECTRONICA',MAYO,10,false,ALTA
35,98,10.72,'DEPORTES',ENERO,10,true,MEDIA
49,39,124.53,'DEPORTES',NOVIEMBRE,7,true,MEDIA
98,73,96.26,'MODA',AGOSTO,2,true,ALTA
131,31,48.14,'ELECTRONICA',AGOSTO,5,true,ALTA
78,71,81.05,'MODA',MARZO,10,true,ALTA
70,79,130.12,'DEPORTES',MARZO,10,false,MEDIA
129,48,113.24,'MODA',ENERO,8,false,ALTA
42,32,6.44,'DEPORTES',MAYO,5,false,MEDIA
71,97,126.2,'DEPORTES',SEPTIEMBRE,0,false,MEDIA
84,40,98.86,'ALIMENTOS',AGOSTO,3,true,ALTA
111,14,36.04,'ELECTRONICA',MARZO,6,true,ALTA
41,21,143.32,'MODA',NOVIEMBRE,2,false,MEDIA
7,71,20.37,'MODA',JUNIO,10,false,BAJA
23,66,116.59,'DEPORTES',ENERO,1,false,BAJA
4,15,107.53,'ALIMENTOS',SEPTIEMBRE,6,false,BAJA
58,99,30.04,'DEPORTES',DICIEMBRE,6,true,MEDIA
75,83,100.58,'ELECTRONICA',MAYO,2,true,ALTA
82,86,95.01,'ELECTRONICA',JUNIO,6,false,ALTA
106,56,21.02,'MODA',OCTUBRE,6,true,ALTA
126,26,121.59,'DEPORTES',DICIEMBRE,4,false,ALTA
77,68,42.06,'ELECTRONICA',JULIO,8,true,MEDIA
148,74,105.15,'ALIMENTOS',JULIO,9,false,ALTA
113,62,106.16,'ELECTRONICA',JULIO,0,true,ALTA
55,19,26.24,'DEPORTES',JUNIO,4,false,BAJA
59,42,80.97,'ELECTRONICA',DICIEMBRE,6,true,MEDIA
21,77,81.19,'HOGAR',ABRIL,9,false,BAJA
0,71,120.38,'HOGAR',AGOSTO,5,true,BAJA
24,87,132.59,'ALIMENTOS',JULIO,5,false,ALTA
30,52,84.74,'MODA',ENERO,5,false,MEDIA
117,16,101.04,'DEPORTES',ABRIL,7,false,ALTA
49,51,79.96,'ALIMENTOS',NOVIEMBRE,1,true,MEDIA
25,8,134.42,'HOGAR',JUNIO,5,true,BAJA
121,90,99.68,'MODA',JUNIO,6,false,ALTA
149,24,69.98,'HOGAR',MAYO,2,false,ALTA
47,14,112.26,'ELECTRONICA',NOVIEMBRE,0,true,BAJA
67,100,17.46,'MODA',MAYO,8,false,MEDIA
82,55,96.59,'DEPORTES',NOVIEMBRE,10,false,ALTA
142,46,141.48,'DEPORTES',MARZO,3,true,ALTA
46,64,145.84,'ALIMENTOS',ABRIL,9,false,MEDIA
120,55,123.5,'ALIMENTOS',OCTUBRE,8,true,ALTA
94,81,129.48,'DEPORTES',MAYO,6,true,ALTA
11,59,94.04,'HOGAR',JULIO,5,false,BAJA
107,7,104.41,'ALIMENTOS',MAYO,6,true,ALTA
142,62,41.33,'ELECTRONICA',ENERO,2,true,ALTA
72,7,50.59,'HOGAR',JULIO,5,true,MEDIA
134,70,127.74,'MODA',MARZO,3,true,ALTA
20,95,78.89,'ALIMENTOS',MARZO,10,true,BAJA
37,66,3.98,'MODA',OCTUBRE,2,true,MEDIA
148,13,19.79,'HOGAR',FEBRERO,5,true,ALTA
21,37,84.3,'HOGAR',OCTUBRE,2,false,BAJA
46,42,139.92,'ALIMENTOS',NOVIEMBRE,0,true,ALTA
36,63,4.12,'ELECTRONICA',AGOSTO,8,true,MEDIA
75,93,38.49,'MODA',OCTUBRE,6,false,ALTA
80,26,53.49,'MODA',OCTUBRE,4,false,ALTA
104,82,46.75,'DEPORTES',JULIO,0,false,ALTA
13,55,1.14,'HOGAR',JULIO,7,true,BAJA
99,59,110.6,'HOGAR',ENERO,3,false,ALTA
23,31,53.98,'ELECTRONICA',JUNIO,0,false,BAJA
43,11,98.76,'ELECTRONICA',MAYO,10,true,MEDIA
146,37,142.24,'HOGAR',MAYO,10,true,ALTA
110,67,100.19,'MODA',FEBRERO,0,false,ALTA
35,14,99.12,'DEPORTES',SEPTIEMBRE,2,false,BAJA
73,66,135.51,'HOGAR',JULIO,9,true,MEDIA
49,60,89.53,'DEPORTES',OCTUBRE,2,false,MEDIA
53,78,105.3,'ELECTRONICA',DICIEMBRE,9,false,MEDIA
94,80,2.85,'HOGAR',ABRIL,8,false,ALTA
77,68,95.94,'ALIMENTOS',DICIEMBRE,8,true,ALTA
131,67,3.38,'ELECTRONICA',MAYO,10,true,ALTA
23,58,51.68,'DEPORTES',MARZO,8,false,BAJA
70,48,70.33,'ALIMENTOS',NOVIEMBRE,6,false,MEDIA
40,61,85.93,'ALIMENTOS',DICIEMBRE,2,true,MEDIA
81,50,93.9,'ELECTRONICA',MARZO,4,false,ALTA
145,76,79.23,'DEPORTES',AGOSTO,0,true,ALTA
6,22,7.7,'ELECTRONICA',MAYO,7,true,BAJA
115,96,112.85,'DEPORTES',JUNIO,7,true,ALTA
13,29,72.59,'MODA',ABRIL,4,false,BAJA
150,34,86.38,'MODA',MARZO,0,false,ALTA
52,94,74.4,'MODA',SEPTIEMBRE,1,false,MEDIA
104,35,39.17,'ALIMENTOS',SEPTIEMBRE,7,false,ALTA
24,30,73.52,'MODA',ENERO,3,false,BAJA
130,69,147.14,'DEPORTES',NOVIEMBRE,2,true,BAJA
121,22,8.11,'HOGAR',JULIO,2,false,ALTA
38,79,78.86,'MODA',SEPTIEMBRE,2,true,MEDIA
95,80,62.73,'HOGAR',SEPTIEMBRE,1,false,ALTA
120,91,146.31,'DEPORTES',SEPTIEMBRE,7,true,ALTA
41,78,39.18,'ELECTRONICA',MAYO,0,true,MEDIA
130,22,21.11,'ALIMENTOS',ABRIL,10,false,ALTA
68,71,29.33,'MODA',FEBRERO,4,true,BAJA
69,65,58.92,'MODA',DICIEMBRE,2,true,MEDIA
34,28,15.74,'ELECTRONICA',NOVIEMBRE,0,true,MEDIA
34,100,4.15,'HOGAR',NOVIEMBRE,6,true,MEDIA
78,45,148.1,'HOGAR',AGOSTO,2,false,MEDIA
147,95,15.91,'MODA',OCTUBRE,7,true,ALTA
115,13,52.58,'ALIMENTOS',JUNIO,7,false,ALTA
21,27,67.19,'HOGAR',AGOSTO,8,true,BAJA
18,57,36.76,'ALIMENTOS',MAYO,6,false,BAJA
21,72,38.81,'ALIMENTOS',OCTUBRE,10,false,MEDIA
133,88,104.45,'HOGAR',FEBRERO,6,true,MEDIA
146,78,118.44,'DEPORTES',OCTUBRE,9,true,ALTA
69,7,44.54,'MODA',MARZO,0,true,MEDIA
100,72,41.45,'DEPORTES',NOVIEMBRE,3,false,BAJA
27,47,133.8,'ELECTRONICA',FEBRERO,5,false,BAJA
117,29,64.13,'MODA',ABRIL,6,true,ALTA
59,90,30.41,'ALIMENTOS',ABRIL,3,true,MEDIA
45,35,123.41,'ALIMENTOS',MARZO,6,false,ALTA
5,34,19.35,'ELECTRONICA',ABRIL,8,false,BAJA
82,29,86.42,'HOGAR',MAYO,2,true,ALTA
59,28,14.47,'DEPORTES',AGOSTO,1,true,MEDIA
73,70,21.05,'DEPORTES',NOVIEMBRE,2,true,MEDIA
60,36,40.39,'ELECTRONICA',MARZO,5,false,MEDIA
62,75,34.34,'HOGAR',SEPTIEMBRE,2,true,MEDIA
86,96,100.68,'ELECTRONICA',SEPTIEMBRE,8,false,ALTA
4,22,23.7,'ELECTRONICA',AGOSTO,2,false,BAJA
12,64,125.52,'ALIMENTOS',OCTUBRE,9,true,MEDIA
11,7,35.28,'ELECTRONICA',MAYO,6,false,BAJA
147,98,11.92,'HOGAR',NOVIEMBRE,3,true,ALTA
130,92,131.1,'DEPORTES',FEBRERO,6,true,ALTA
112,55,104.34,'MODA',MAYO,8,false,ALTA
8,83,111.5,'DEPORTES',NOVIEMBRE,3,true,BAJA
68,64,38.57,'HOGAR',OCTUBRE,1,true,MEDIA
48,53,5.41,'ALIMENTOS',MARZO,7,false,MEDIA
133,63,101.22,'ALIMENTOS',AGOSTO,5,false,ALTA
25,26,75.98,'HOGAR',SEPTIEMBRE,9,false,BAJA
82,87,112.4,'HOGAR',SEPTIEMBRE,1,false,ALTA
25,4,67.02,'MODA',AGOSTO,0,false,BAJA
37,39,36.88,'MODA',FEBRERO,2,true,MEDIA
15,28,27.98,'MODA',MAYO,9,false,BAJA
5,84,45.55,'MODA',NOVIEMBRE,9,true,BAJA
17,74,114.22,'MODA',AGOSTO,10,true,BAJA
86,49,108.13,'MODA',NOVIEMBRE,0,true,ALTA
31,40,149.71,'ELECTRONICA',AGOSTO,4,false,MEDIA
60,0,72.22,'ALIMENTOS',JUNIO,10,true,MEDIA
102,90,31.87,'ELECTRONICA',MARZO,2,true,ALTA
37,61,113.94,'ELECTRONICA',ENERO,0,true,MEDIA
100,95,53.85,'HOGAR',MARZO,4,false,ALTA
69,43,123.34,'ELECTRONICA',FEBRERO,7,true,MEDIA
137,74,90.5,'ALIMENTOS',MARZO,10,false,ALTA
65,26,92.53,'DEPORTES',ABRIL,8,true,MEDIA
109,48,44.79,'MODA',OCTUBRE,9,false,MEDIA
114,85,127.99,'ALIMENTOS',JUNIO,2,true,ALTA
71,38,139.22,'ELECTRONICA',DICIEMBRE,7,false,MEDIA
36,45,122.29,'ALIMENTOS',AGOSTO,4,false,MEDIA
5,49,75.34,'ALIMENTOS',SEPTIEMBRE,5,true,BAJA
137,76,122.83,'ELECTRONICA',SEPTIEMBRE,2,true,ALTA
142,87,101.21,'HOGAR',ENERO,8,true,ALTA
54,13,33.68,'DEPORTES',AGOSTO,8,true,MEDIA
79,69,144.43,'DEPORTES',JULIO,6,true,ALTA
124,41,109.43,'MODA',FEBRERO,9,false,ALTA
40,63,14.89,'HOGAR',DICIEMBRE,6,false,BAJA
96,12,23.12,'DEPORTES',DICIEMBRE,0,false,ALTA
64,45,113.17,'HOGAR',ENERO,10,true,MEDIA
93,11,141.59,'ALIMENTOS',DICIEMBRE,7,true,ALTA
16,83,129.6,'ALIMENTOS',JULIO,5,false,ALTA
54,36,9.26,'HOGAR',SEPTIEMBRE,8,false,MEDIA
142,48,59.34,'DEPORTES',AGOSTO,9,false,ALTA
123,26,54.24,'MODA',ENERO,4,true,ALTA
112,14,95.33,'HOGAR',MAYO,10,true,ALTA
16,60,19.04,'ELECTRONICA',MARZO,4,true,MEDIA
14,100,28.74,'MODA',AGOSTO,8,false,BAJA
147,36,35.52,'ALIMENTOS',MARZO,1,true,BAJA
13,87,36.2,'ELECTRONICA',SEPTIEMBRE,5,true,BAJA
67,81,54.57,'DEPORTES',DICIEMBRE,1,true,BAJA
58,97,15.78,'ELECTRONICA',SEPTIEMBRE,7,true,MEDIA
28,8,25.05,'HOGAR',FEBRERO,8,false,BAJA
118,97,25.76,'DEPORTES',AGOSTO,0,false,ALTA
20,13,23.63,'ALIMENTOS',AGOSTO,1,false,BAJA
95,26,112.67,'DEPORTES',FEBRERO,7,true,BAJA
13,85,77.93,'ELECTRONICA',ENERO,4,false,MEDIA
41,47,96.74,'MODA',MAYO,6,false,MEDIA
88,3,45.98,'MODA',DICIEMBRE,10,true,ALTA
102,73,18.07,'HOGAR',DICIEMBRE,10,true,ALTA
14,21,12.71,'ELECTRONICA',DICIEMBRE,0,true,BAJA
65,66,37.91,'ALIMENTOS',ABRIL,5,false,MEDIA
120,15,14.64,'ELECTRONICA',NOVIEMBRE,9,false,ALTA
106,72,95.75,'HOGAR',ENERO,0,false,MEDIA
81,24,29.34,'ALIMENTOS',ABRIL,6,false,ALTA
107,95,96.94,'HOGAR',NOVIEMBRE,7,false,BAJA
135,100,97.07,'ELECTRONICA',DICIEMBRE,4,true,ALTA
100,6,66.44,'MODA',FEBRERO,7,false,ALTA
14,67,69.59,'ELECTRONICA',FEBRERO,8,false,BAJA
107,61,147.61,'ALIMENTOS',NOVIEMBRE,0,false,MEDIA
11,70,16.55,'ELECTRONICA',SEPTIEMBRE,5,true,BAJA
110,60,116.16,'MODA',NOVIEMBRE,5,false,ALTA
51,37,128.19,'DEPORTES',MAYO,2,true,ALTA
145,25,38.49,'HOGAR',JUNIO,5,false,ALTA
147,34,21.2,'DEPORTES',DICIEMBRE,10,true,ALTA
21,74,72.69,'DEPORTES',FEBRERO,9,false,BAJA
52,23,68.29,'ALIMENTOS',JUNIO,8,false,MEDIA
22,23,133.25,'DEPORTES',DICIEMBRE,8,true,BAJA
45,32,48.24,'ELECTRONICA',SEPTIEMBRE,10,false,MEDIA
15,77,13.89,'ELECTRONICA',SEPTIEMBRE,5,true,BAJA
107,88,107.92,'DEPORTES',AGOSTO,10,true,ALTA
96,48,146.99,'ELECTRONICA',NOVIEMBRE,9,true,ALTA
44,12,103.34,'DEPORTES',NOVIEMBRE,2,false,MEDIA
49,56,20.48,'ELECTRONICA',OCTUBRE,5,true,MEDIA
43,70,40.06,'HOGAR',ENERO,2,true,MEDIA
32,38,4.88,'DEPORTES',OCTUBRE,5,false,MEDIA
48,62,31.24,'ELECTRONICA',MARZO,2,true,ALTA
101,50,149.65,'ELECTRONICA',DICIEMBRE,2,false,ALTA
81,3,75.08,'ELECTRONICA',AGOSTO,2,false,ALTA
15,30,47.95,'ALIMENTOS',JULIO,1,false,BAJA
41,14,59.42,'DEPORTES',FEBRERO,1,true,MEDIA
33,61,84.63,'MODA',MAYO,10,true,MEDIA
12,81,49.52,'DEPORTES',JUNIO,5,true,BAJA
69,77,135.0,'DEPORTES',OCTUBRE,10,true,MEDIA
37,41,17.19,'DEPORTES',OCTUBRE,7,true,MEDIA
35,81,128.05,'ALIMENTOS',ABRIL,3,false,MEDIA
132,61,1.43,'ELECTRONICA',ENERO,8,false,ALTA
143,15,70.6,'DEPORTES',FEBRERO,7,false,ALTA
117,2,139.29,'DEPORTES',NOVIEMBRE,7,false,ALTA
120,6,90.5,'HOGAR',JUNIO,1,false,ALTA
52,73,43.22,'ALIMENTOS',ENERO,3,true,MEDIA
2,43,149.11,'ALIMENTOS',MARZO,1,true,BAJA
27,41,131.93,'MODA',ABRIL,3,false,BAJA
35,71,99.06,'ALIMENTOS',MARZO,10,false,MEDIA
113,25,107.18,'MODA',ABRIL,10,true,ALTA
5,7,13.01,'ALIMENTOS',ABRIL,9,false,MEDIA
122,45,105.47,'DEPORTES',FEBRERO,3,true,ALTA
137,94,21.26,'DEPORTES',SEPTIEMBRE,9,true,ALTA
102,14,23.41,'ALIMENTOS',MARZO,1,true,ALTA
60,80,42.03,'ELECTRONICA',ABRIL,6,true,MEDIA
31,39,137.79,'DEPORTES',NOVIEMBRE,1,false,MEDIA
19,47,91.0,'MODA',MAYO,5,false,BAJA
129,16,62.43,'MODA',SEPTIEMBRE,5,false,ALTA
25,6,55.85,'ALIMENTOS',JUNIO,9,true,BAJA
116,47,21.72,'DEPORTES',SEPTIEMBRE,6,true,ALTA
30,63,60.41,'HOGAR',MARZO,5,false,BAJA
85,30,149.27,'HOGAR',JULIO,7,false,ALTA
20,72,73.0,'DEPORTES',ABRIL,1,true,BAJA
56,20,67.34,'MODA',SEPTIEMBRE,3,false,MEDIA
18,47,148.97,'ALIMENTOS',ABRIL,8,true,BAJA
94,60,7.34,'ALIMENTOS',ABRIL,10,false,ALTA
59,57,68.36,'ELECTRONICA',SEPTIEMBRE,6,false,MEDIA
6,8,17.98,'HOGAR',ABRIL,3,true,BAJA
49,48,65.3,'ELECTRONICA',ENERO,5,true,MEDIA
64,27,5.34,'MODA',JULIO,8,false,MEDIA
23,52,147.86,'ELECTRONICA',MAYO,7,false,BAJA
150,66,106.03,'DEPORTES',JULIO,5,true,ALTA
59,64,73.15,'MODA',DICIEMBRE,2,true,MEDIA
105,51,132.75,'MODA',OCTUBRE,7,true,ALTA
83,42,121.54,'DEPORTES',ENERO,7,false,MEDIA
149,100,136.93,'DEPORTES',ENERO,3,true,BAJA
92,49,88.6,'ALIMENTOS',MARZO,5,true,ALTA
63,61,88.84,'DEPORTES',AGOSTO,7,true,ALTA
21,25,40.52,'HOGAR',ENERO,9,false,BAJA
37,31,123.84,'ALIMENTOS',JUNIO,6,false,MEDIA
25,38,54.72,'ALIMENTOS',JULIO,5,true,BAJA
98,9,92.52,'MODA',JULIO,1,true,ALTA
77,32,111.15,'ALIMENTOS',MAYO,2,true,ALTA
22,63,110.74,'HOGAR',ABRIL,1,true,BAJA
0,16,147.52,'DEPORTES',ABRIL,2,false,BAJA
36,64,51.45,'DEPORTES',FEBRERO,3,false,BAJA
56,58,11.39,'HOGAR',MARZO,5,false,MEDIA
61,51,100.8,'DEPORTES',OCTUBRE,9,false,MEDIA
150,91,8.39,'ELECTRONICA',OCTUBRE,2,true,ALTA
128,27,139.66,'ELECTRONICA',AGOSTO,1,true,ALTA
12,32,1.09,'ALIMENTOS',ENERO,7,true,BAJA
95,85,86.15,'MODA',DICIEMBRE,0,false,ALTA
76,38,52.22,'HOGAR',ENERO,6,false,ALTA
127,24,60.02,'ELECTRONICA',MAYO,5,false,ALTA
147,90,70.26,'ELECTRONICA',AGOSTO,5,false,ALTA
71,30,70.04,'DEPORTES',OCTUBRE,9,false,MEDIA
111,61,86.64,'HOGAR',ENERO,9,true,ALTA
89,12,119.96,'DEPORTES',OCTUBRE,7,true,ALTA
69,28,73.31,'HOGAR',DICIEMBRE,3,false,MEDIA
3,64,27.51,'ELECTRONICA',MARZO,10,false,BAJA
79,56,40.52,'ELECTRONICA',DICIEMBRE,1,false,ALTA
121,67,88.34,'ELECTRONICA',JULIO,9,true,ALTA
57,77,22.3,'ELECTRONICA',MAYO,5,false,MEDIA
17,38,14.5,'HOGAR',MARZO,9,false,BAJA
102,4,80.4,'DEPORTES',JUNIO,9,true,ALTA
128,87,63.2,'MODA',MARZO,3,true,ALTA
124,66,132.99,'MODA',AGOSTO,5,false,ALTA
76,13,27.62,'MODA',ABRIL,4,true,ALTA
65,8,65.99,'DEPORTES',MARZO,2,false,MEDIA
120,80,13.5,'HOGAR',ENERO,0,true,ALTA
127,78,118.55,'HOGAR',ABRIL,1,true,ALTA
111,63,145.08,'MODA',FEBRERO,3,true,ALTA
88,63,147.55,'ALIMENTOS',JULIO,10,false,ALTA
138,90,91.87,'ELECTRONICA',NOVIEMBRE,8,true,ALTA
45,6,96.55,'DEPORTES',DICIEMBRE,0,true,MEDIA
98,53,89.08,'MODA',DICIEMBRE,3,true,ALTA
107,0,60.37,'ALIMENTOS',FEBRERO,3,false,ALTA
68,56,32.97,'ELECTRONICA',OCTUBRE,1,true,MEDIA
135,35,67.46,'MODA',MAYO,1,true,ALTA
93,37,59.67,'ELECTRONICA',ABRIL,2,false,ALTA
33,99,88.59,'ELECTRONICA',OCTUBRE,0,false,MEDIA
6,40,52.12,'ELECTRONICA',SEPTIEMBRE,3,false,BAJA
85,51,20.29,'MODA',NOVIEMBRE,1,true,MEDIA
71,10,112.47,'ALIMENTOS',FEBRERO,9,false,MEDIA
14,87,6.11,'ALIMENTOS',NOVIEMBRE,2,true,BAJA
102,48,105.09,'HOGAR',SEPTIEMBRE,8,true,ALTA
50,64,49.46,'MODA',ENERO,4,true,MEDIA
2,13,124.62,'DEPORTES',FEBRERO,9,false,BAJA
65,55,135.02,'ELECTRONICA',OCTUBRE,1,true,MEDIA
13,44,99.09,'HOGAR',SEPTIEMBRE,0,true,BAJA
54,82,140.67,'ELECTRONICA',AGOSTO,1,true,MEDIA
8,38,93.9,'ALIMENTOS',ABRIL,3,true,BAJA
118,77,97.97,'ELECTRONICA',JULIO,4,true,ALTA
120,66,105.34,'ALIMENTOS',AGOSTO,3,false,ALTA
149,0,75.03,'ELECTRONICA',JULIO,7,false,BAJA
78,62,84.88,'ALIMENTOS',FEBRERO,8,false,ALTA
145,100,53.51,'MODA',FEBRERO,0,false,ALTA
30,70,92.6,'HOGAR',OCTUBRE,2,false,MEDIA
116,53,14.22,'DEPORTES',JULIO,8,false,ALTA
122,1,13.16,'MODA',NOVIEMBRE,5,false,ALTA
135,7,97.24,'HOGAR',MARZO,10,true,ALTA
115,53,65.02,'DEPORTES',ENERO,4,true,ALTA
71,83,55.85,'ELECTRONICA',SEPTIEMBRE,2,true,MEDIA
28,58,41.29,'DEPORTES',MAYO,6,false,BAJA
110,42,115.57,'DEPORTES',ABRIL,9,false,MEDIA
129,33,122.88,'HOGAR',JUNIO,9,true,BAJA
3,10,91.05,'MODA',NOVIEMBRE,5,true,BAJA
17,59,8.23,'MODA',MARZO,5,true,ALTA
112,50,77.06,'HOGAR',NOVIEMBRE,3,false,ALTA
142,10,142.8,'HOGAR',FEBRERO,6,true,ALTA
19,85,28.15,'DEPORTES',MARZO,3,true,BAJA
138,47,36.02,'HOGAR',DICIEMBRE,8,false,ALTA
96,21,128.12,'ALIMENTOS',OCTUBRE,10,true,ALTA
29,25,65.72,'ELECTRONICA',ENERO,10,false,BAJA
42,99,28.23,'ALIMENTOS',MARZO,10,true,MEDIA
71,75,29.29,'ALIMENTOS',FEBRERO,0,false,MEDIA
73,47,81.08,'HOGAR',JUNIO,0,false,MEDIA
82,91,110.74,'ALIMENTOS',MARZO,9,false,ALTA
133,78,69.0,'ALIMENTOS',MARZO,4,true,ALTA
89,2,149.86,'MODA',NOVIEMBRE,5,true,ALTA
44,7,126.48,'HOGAR',MAYO,3,false,MEDIA
99,2,53.63,'DEPORTES',NOVIEMBRE,3,false,MEDIA
53,30,115.85,'ALIMENTOS',MARZO,0,true,MEDIA
140,90,33.15,'ELECTRONICA',JULIO,0,true,ALTA
8,40,118.13,'DEPORTES',OCTUBRE,1,false,BAJA
100,59,92.37,'DEPORTES',NOVIEMBRE,5,true,ALTA
148,21,38.13,'HOGAR',FEBRERO,1,false,ALTA
41,92,136.63,'MODA',ENERO,5,true,MEDIA
66,22,85.2,'ALIMENTOS',NOVIEMBRE,1,true,MEDIA
100,15,20.89,'MODA',AGOSTO,2,true,ALTA
30,94,86.88,'ELECTRONICA',ABRIL,9,true,MEDIA
12,63,136.11,'DEPORTES',SEPTIEMBRE,6,false,BAJA
106,40,50.88,'ELECTRONICA',ABRIL,7,true,ALTA
97,37,112.37,'DEPORTES',OCTUBRE,7,false,ALTA
10,20,94.72,'HOGAR',OCTUBRE,8,false,ALTA
23,15,101.1,'DEPORTES',AGOSTO,6,false,BAJA
137,44,132.58,'HOGAR',DICIEMBRE,0,false,ALTA
113,18,100.46,'MODA',SEPTIEMBRE,1,true,ALTA
21,55,95.45,'DEPORTES',DICIEMBRE,0,false,MEDIA
17,70,78.89,'ALIMENTOS',ENERO,5,false,BAJA
106,6,135.72,'ELECTRONICA',SEPTIEMBRE,9,true,ALTA
6,45,92.19,'DEPORTES',MAYO,6,true,BAJA
114,1,85.37,'ELECTRONICA',MARZO,9,true,ALTA
43,74,62.76,'ALIMENTOS',JULIO,9,true,MEDIA
107,88,20.62,'ELECTRONICA',ABRIL,4,false,ALTA
93,75,49.31,'MODA',MARZO,9,false,ALTA
100,41,101.47,'ELECTRONICA',MAYO,2,true,ALTA
111,50,11.86,'HOGAR',ENERO,3,false,ALTA
123,83,106.99,'HOGAR',AGOSTO,6,true,ALTA
4,73,46.93,'ELECTRONICA',JUNIO,8,false,MEDIA
94,68,19.3,'MODA',ENERO,1,true,ALTA
110,62,12.68,'ALIMENTOS',FEBRERO,1,true,MEDIA
132,88,124.7,'DEPORTES',AGOSTO,6,false,ALTA
21,83,25.6,'MODA',FEBRERO,1,false,BAJA
16,33,72.09,'MODA',SEPTIEMBRE,6,true,BAJA
141,31,42.75,'MODA',FEBRERO,8,false,ALTA
137,38,73.06,'DEPORTES',DICIEMBRE,0,false,ALTA
92,10,79.82,'HOGAR',JUNIO,6,false,ALTA
73,51,71.11,'ALIMENTOS',OCTUBRE,6,false,MEDIA
134,22,78.07,'ELECTRONICA',AGOSTO,4,false,BAJA
23,29,119.84,'DEPORTES',MAYO,2,false,BAJA
83,76,96.37,'ALIMENTOS',OCTUBRE,2,false,ALTA
67,14,96.49,'HOGAR',AGOSTO,3,false,MEDIA
38,26,81.24,'HOGAR',MAYO,6,true,MEDIA
95,20,126.45,'ALIMENTOS',ENERO,2,true,ALTA
148,88,60.61,'ALIMENTOS',AGOSTO,10,false,ALTA
126,83,86.8,'ELECTRONICA',MAYO,3,false,MEDIA
139,95,25.9,'ELECTRONICA',FEBRERO,3,false,ALTA
39,84,60.72,'DEPORTES',OCTUBRE,4,true,MEDIA
133,0,145.6,'HOGAR',NOVIEMBRE,8,true,ALTA
4,4,7.23,'ELECTRONICA',MAYO,7,true,BAJA
33,77,94.81,'ELECTRONICA',ENERO,2,true,MEDIA
89,57,20.66,'MODA',MAYO,5,false,ALTA
65,64,76.05,'HOGAR',DICIEMBRE,8,true,MEDIA
90,26,96.57,'MODA',MAYO,0,true,ALTA
107,64,7.91,'DEPORTES',ENERO,1,false,ALTA
40,48,17.82,'MODA',NOVIEMBRE,5,true,MEDIA
54,32,102.22,'ELECTRONICA',NOVIEMBRE,7,false,MEDIA
21,22,82.56,'MODA',ENERO,10,true,MEDIA
11,62,133.34,'HOGAR',ABRIL,3,false,BAJA
20,80,82.27,'HOGAR',FEBRERO,9,true,BAJA
40,40,61.6,'ELECTRONICA',AGOSTO,0,true,MEDIA
83,61,131.82,'DEPORTES',MAYO,5,false,ALTA
64,97,139.0,'MODA',DICIEMBRE,10,true,MEDIA
